Employee ID,Question #,Role,Tier,Tier,Element,Question Type,Question,Numeric Response,Response
test employee 1,1,Senior,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,4,4. Agree
test employee 1,2,Senior,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,2. Somewhat disagree
test employee 1,3,Senior,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,4,4. Agree
test employee 1,4,Senior,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,4. Agree
test employee 1,5,Senior,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,2. Somewhat disagree
test employee 1,6,Senior,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,2,2. Somewhat disagree
test employee 1,7,Senior,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,2,2. Somewhat disagree
test employee 1,8,Senior,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,2,2. Somewhat disagree
test employee 1,9,Senior,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,2,2. Somewhat disagree
test employee 1,10,Senior,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,2,2. Somewhat disagree
test employee 1,11,Senior,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,1. Disagree
test employee 1,12,Senior,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,3,3. Somewhat agree
test employee 1,13,Senior,Operational,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,3. Somewhat agree
test employee 1,14,Senior,Operational,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,2,2. Somewhat disagree
test employee 1,15,Senior,Operational,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,4,4. Agree
test employee 1,16,Senior,Operational,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,2,2. Somewhat disagree
test employee 1,17,Senior,Operational,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,2,2. Somewhat disagree
test employee 1,18,Senior,Operational,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,2,2. Somewhat disagree
test employee 1,19,Senior,Operational,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,3,3. Somewhat agree
test employee 1,20,Senior,Operational,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,3,3. Somewhat agree
test employee 1,21,Senior,Operational,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,2,2. Somewhat disagree
test employee 1,22,Senior,Operational,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,2,2. Somewhat disagree
test employee 1,23,Senior,Operational,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,3,3. Somewhat agree
test employee 1,24,Senior,Operational,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,1,1. Disagree
test employee 1,25,Senior,Transactional,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,2,2. Somewhat disagree
test employee 1,26,Senior,Transactional,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,2,2. Somewhat disagree
test employee 1,27,Senior,Transactional,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,2,2. Somewhat disagree
test employee 1,28,Senior,Transactional,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,2,2. Somewhat disagree
test employee 1,29,Senior,Transactional,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,1,1. Disagree
test employee 1,30,Senior,Transactional,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,2,2. Somewhat disagree
test employee 1,31,Senior,Transactional,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,3,3. Somewhat agree
test employee 1,32,Senior,Transactional,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,3,3. Somewhat agree
test employee 1,33,Senior,Transactional,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,4,4. Agree
test employee 1,34,Senior,Transactional,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,2,2. Somewhat disagree
test employee 1,35,Senior,Transactional,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,2,2. Somewhat disagree
test employee 1,36,Senior,Transactional,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,3,3. Somewhat agree
test employee 2,1,Senior,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,4,4. Agree
test employee 2,2,Senior,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,1,1. Disagree
test employee 2,3,Senior,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,3. Somewhat agree
test employee 2,4,Senior,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,3,3. Somewhat agree
test employee 2,5,Senior,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,2. Somewhat disagree
test employee 2,6,Senior,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,1. Disagree
test employee 2,7,Senior,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,3,3. Somewhat agree
test employee 2,8,Senior,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,3,3. Somewhat agree
test employee 2,9,Senior,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,2,2. Somewhat disagree
test employee 2,10,Senior,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,3,3. Somewhat agree
test employee 2,11,Senior,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,1. Disagree
test employee 2,12,Senior,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,1,1. Disagree
test employee 2,13,Senior,Operational,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,3. Somewhat agree
test employee 2,14,Senior,Operational,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,3,3. Somewhat agree
test employee 2,15,Senior,Operational,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,3,3. Somewhat agree
test employee 2,16,Senior,Operational,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,1,1. Disagree
test employee 2,17,Senior,Operational,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,3. Somewhat agree
test employee 2,18,Senior,Operational,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,3,3. Somewhat agree
test employee 2,19,Senior,Operational,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,2,2. Somewhat disagree
test employee 2,20,Senior,Operational,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,3,3. Somewhat agree
test employee 2,21,Senior,Operational,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,1,1. Disagree
