Employee ID,Question #,Role,Tier,Element,Question Type,Question,Simulated Response,Response
test employee 1,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,4,Agree
test employee 1,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,3,Somewhat agree
test employee 1,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,4,Agree
test employee 1,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,2,Somewhat disagree
test employee 1,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,Somewhat disagree
test employee 1,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,Disagree
test employee 1,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,3,Somewhat agree
test employee 1,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,3,Somewhat agree
test employee 1,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,3,Somewhat agree
test employee 1,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,2,Somewhat disagree
test employee 1,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,Disagree
test employee 1,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,3,Somewhat agree
test employee 1,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
test employee 1,14,Senior,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,3,Somewhat agree
test employee 1,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,4,Agree
test employee 1,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,1,Disagree
test employee 1,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,2,Somewhat disagree
test employee 1,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,2,Somewhat disagree
test employee 1,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,4,Agree
